HIP_ID,RA_deg,DEC_deg,V_mag,Parallax,pmRA,pmDE
24608,79.1723294,45.99799111,0.07999999821186066,77.29000091552734,75.52,-427.13
24436,78.63446812,-8.20164055,0.18000000715255737,4.21999979019165,1.87,-0.56
7588,24.42852736,-57.23675749,0.44999998807907104,22.68000030517578,88.02,-40.08
21421,68.9801611,16.50930139,0.8700000047683716,50.09000015258789,62.78,-189.36
25336,81.28276276,6.34970223,1.6399999856948853,13.420000076293945,-8.75,-13.28
25428,81.57297249,28.60745001,1.649999976158142,24.889999389648438,23.28,-174.22
26311,84.05338934,-1.20191983,1.690000057220459,2.430000066757202,1.49,-1.06
26727,85.18969642,-1.94257224,1.7400000095367432,3.990000009536743,3.99,2.54
15863,51.08070979,49.86117959,1.7899999618530273,5.510000228881836,24.11,-26.01
11767,37.95451535,89.26410951,1.9700000286102295,7.559999942779541,44.22,-11.74
9884,31.79336293,23.46242313,2.009999990463257,49.47999954223633,190.73,-145.77
3419,10.8973794,-17.9866046,2.0399999618530273,34.040000915527344,232.79,32.71
677,2.09691071,29.09043199,2.069999933242798,33.599998474121094,135.68,-162.95
5447,17.43301493,35.6205577,2.069999933242798,16.360000610351562,175.59,-112.23
27366,86.93912023,-9.66960478,2.069999933242798,4.519999980926514,1.55,-1.2
14576,47.04221485,40.9556477,2.0899999141693115,35.13999938964844,2.39,-1.44
9640,30.97480447,42.32972473,2.0999999046325684,9.1899995803833,43.08,-50.85
4427,14.17721554,60.71674038,2.1500000953674316,5.320000171661377,25.65,-3.82
3179,10.12683548,56.53733109,2.240000009536743,14.270000457763672,50.36,-32.17
25930,83.00166968,-0.29909204,2.25,3.559999942779541,1.67,0.56
746,2.29452113,59.1497796,2.2799999713897705,59.88999938964844,523.39,-180.42
2081,6.57104571,-42.30598151,2.4000000953674316,42.13999938964844,232.76,-353.64
14135,45.56988401,4.08973396,2.5399999618530273,14.819999694824219,-11.81,-78.76
25985,83.18256633,-17.82228853,2.5799999237060547,2.5399999618530273,3.27,1.54
8903,28.66003816,20.80803505,2.640000104904175,54.7400016784668,96.32,-108.8
26634,84.91224946,-34.07410786,2.6500000953674316,12.15999984741211,-0.1,-24.05
6686,21.45396795,60.23528317,2.6600000858306885,32.810001373291016,297.24,-49.49
23015,74.24841152,33.16609031,2.690000057220459,6.369999885559082,3.63,-18.54
26241,83.8582603,-5.90990135,2.75,2.4600000381469727,2.27,-0.62
23875,76.96243797,-5.08644618,2.7799999713897705,36.709999084472656,-83.39,-75.44
25606,82.06134664,-20.75944097,2.809999942779541,20.489999771118164,-5.03,-85.92
2021,6.43780017,-77.25424559,2.819999933242798,133.77999877929688,2220.12,324.37
1067,3.30897012,15.1835959,2.8299999237060547,9.789999961853027,4.7,-8.24
18246,58.53300625,31.88363552,2.8399999141693115,3.319999933242798,4.41,-9.15
17702,56.87115217,24.10513715,2.8499999046325684,8.869999885559082,19.35,-43.11
9236,29.69247303,-61.5698591,2.859999895095825,45.7400016784668,262.54,26.88
13847,44.56531119,-40.30467242,2.880000114440918,20.219999313354492,-53.53,25.71
18532,59.4634614,40.01021467,2.9000000953674316,6.059999942779541,12.61,-24.06
14328,46.19912802,53.50644013,2.9100000858306885,12.720000267028809,0.5,-4.19
18543,59.50735988,-13.50851533,2.9700000286102295,14.75,60.51,-111.34
26451,84.4111907,21.14254914,2.9700000286102295,7.820000171661377,2.39,-18.04
10064,32.38594522,34.98729693,3.0,26.239999771118164,148.78,-39.13
17358,55.73126161,47.78755139,3.009999990463257,6.179999828338623,23.83,-41.93
23416,75.49222568,43.82330836,3.0299999713897705,1.600000023841858,0.18,-2.31
27628,87.73997037,-35.76830865,3.119999885559082,37.939998626708984,55.74,404.68
23767,76.62871992,41.23447447,3.180000066757202,14.869999885559082,30.6,-68.41
22449,72.46004413,6.96127568,3.190000057220459,124.5999984741211,463.44,11.62
23685,76.3652677,-22.37103258,3.190000057220459,14.390000343322754,19.27,-72.35
17678,56.80975497,-74.23896234,3.259999990463257,15.229999542236328,51.07,115.27
3092,9.83198236,30.86102393,3.2699999809265137,32.189998626708984,115.38,-83.05
24305,78.23292017,-16.20546821,3.2899999618530273,17.690000534057617,45.66,-16.13
21281,68.49907315,-55.04497465,3.299999952316284,18.559999465942383,58.06,12.73
5165,16.5210284,-46.71841361,3.319999933242798,16.459999084472656,-70.16,31.6
14354,46.29413912,38.84027386,3.319999933242798,10.029999732971191,128.69,-106.61
19780,63.60618205,-62.47385803,3.3299999237060547,19.979999542236328,41.64,49.72
8886,28.59885632,63.67010151,3.3499999046325684,7.380000114440918,31.98,-18.66
25281,81.11923643,-2.39714624,3.3499999046325684,3.619999885559082,-0.54,-3.21
26207,83.78448789,9.93415842,3.390000104904175,3.0899999141693115,-1.03,-1.86
20894,67.16558676,15.87088266,3.4000000953674316,21.889999389648438,108.66,-26.39
6867,22.09136277,-43.31823391,3.4100000858306885,13.9399995803833,-18.21,-207.71
18724,60.17006562,12.49034659,3.4100000858306885,8.8100004196167,-8.15,-11.98
8796,28.27044954,29.57882927,3.4200000762939453,50.869998931884766,12.02,-233.69
3821,12.27621323,57.81518734,3.4600000381469727,167.99000549316406,1087.11,-559.65
5364,17.1474649,-10.18226422,3.4600000381469727,27.729999542236328,215.81,-138.33
12706,40.8251625,3.23581853,3.4700000286102295,39.779998779296875,-146.43,-145.27
8102,26.01701214,-15.93748006,3.490000009536743,274.1700134277344,-1721.82,854.07
17378,55.81209088,-9.76339465,3.5199999809265137,110.58000183105469,-91.71,742.23
20889,67.15416474,19.18043155,3.5299999713897705,21.040000915527344,107.23,-36.77
20042,64.47359293,-33.79834786,3.549999952316284,18.270000457763672,62.31,-6.75
27288,86.73891997,-14.82195004,3.549999952316284,46.470001220703125,-14.84,-1.18
1562,4.8569773,-8.82392145,3.559999942779541,11.260000228881836,-14.37,-37.84
10602,34.12743894,-51.51216468,3.559999942779541,21.059999465942383,90.75,-21.9
7607,24.49815046,48.62821317,3.5899999141693115,18.760000228881836,60.9,-112.42
24674,79.40162477,-6.84440942,3.5899999141693115,5.880000114440918,-15.31,-9.57
27072,86.11579339,-22.44838217,3.5899999141693115,111.48999786376953,-292.42,-368.45
6537,21.00585424,-8.18325655,3.5999999046325684,28.479999542236328,-78.38,-206.88
13209,42.49596812,27.26050706,3.609999895095825,20.450000762939453,65.47,-116.59
15900,51.20330738,9.02886984,3.609999895095825,15.420000076293945,-74.25,-80.31
7097,22.87087261,15.34582301,3.619999885559082,11.09000015258789,25.73,-3.29
17847,57.29059399,24.05341547,3.619999885559082,8.569999694824219,17.77,-44.7
20205,64.94834891,15.62764232,3.6500000953674316,21.170000076293945,115.29,-23.86
22549,72.80151623,5.60510396,3.680000066757202,2.5899999141693115,-3.62,1.03
2920,9.24285251,53.89690937,3.690000057220459,5.460000038146973,17.77,-9.15
9007,28.98946829,-51.60889586,3.690000057220459,57.189998626708984,681.24,284.23
23453,75.61952888,41.07583744,3.690000057220459,4.139999866485596,8.88,-21.43
15474,49.87917471,-21.75786384,3.700000047683716,12.630000114440918,51.35,32.2
22797,73.56290198,2.44067205,3.7100000381469727,2.430000066757202,1.43,0.23
16537,53.23268409,-9.45826215,3.7200000286102295,310.75,-976.44,17.97
17499,56.2189055,24.11333922,3.7200000286102295,8.800000190734863,21.55,-44.92
16083,51.79230269,9.73267975,3.7300000190734863,14.680000305175781,53.61,-38.12
8645,27.86513997,-10.33503772,3.740000009536743,12.59000015258789,38.78,-38.04
26069,83.40632371,-62.48982532,3.759999990463257,3.140000104904175,1.06,12.56
27654,87.83039904,-20.87908866,3.759999990463257,29.049999237060547,228.96,-647.96
13268,42.67420868,55.89549611,3.7699999809265137,2.450000047683716,16.64,-13.76
17529,56.29846606,42.57854862,3.7699999809265137,5.860000133514404,-14.59,1.75
20455,65.73372189,17.5425142,3.7699999809265137,21.290000915527344,107.75,-28.84
26549,84.68653333,-2.60006888,3.7699999809265137,2.8399999141693115,4.61,-0.4
14668,47.37404785,44.8575437,3.7899999618530273,29.049999237060547,173.01,-142.05
14879,48.01886556,-28.98761809,3.799999952316284,70.86000061035156,371.49,612.26
21393,68.88766065,-30.56234148,3.809999942779541,15.619999885559082,-48.92,-12.75
9487,30.5117503,2.76375946,3.819999933242798,23.450000762939453,33.29,-0.42
17440,56.0499063,-64.80690264,3.8399999141693115,32.709999084472656,308.39,78.72
17448,56.07971679,32.28824817,3.8399999141693115,2.2100000381469727,8.11,-10.32
20885,67.14373289,15.96218073,3.8399999141693115,20.65999984741211,104.76,-15.01
19747,63.50047645,-42.29436792,3.8499999046325684,27.850000381469727,41.89,-203.65
27321,86.82119852,-51.06651408,3.8499999046325684,51.869998931884766,4.65,81.96
4436,14.18838148,38.49934462,3.859999895095825,23.93000030517578,152.78,36.82
21594,69.54510028,-14.30401978,3.859999895095825,29.84000015258789,-77.86,-178.06
25859,82.80314914,-35.47051883,3.859999895095825,11.770000457763672,28.36,-34.11
17573,56.45669431,24.36774851,3.869999885559082,9.0600004196167,21.09,-45.03
765,2.35267495,-45.74742618,3.880000114440918,23.280000686645508,122.15,-180.13
8832,28.38255961,19.29385177,3.880000114440918,15.960000038146973,79.43,-99.1
13701,44.10687368,-8.89814446,3.890000104904175,24.489999771118164,77.73,-219.99
18907,60.78908352,5.98930513,3.9100000858306885,25.239999771118164,5.52,-1.63
2072,6.55084089,-43.67982953,3.930000066757202,42.5099983215332,106.14,32.83
7083,22.81293588,-49.07270222,3.930000066757202,22.149999618530273,138.22,154.2
13531,43.56441901,52.7624789,3.930000066757202,13.149999618530273,-1.99,-4.53
21444,69.07975664,-3.35245903,3.930000066757202,5.559999942779541,1.73,-4.54
5348,17.09617396,-55.24576016,3.940000057220459,11.65999984741211,21.17,29.7
9598,30.85877233,72.42129433,3.950000047683716,20.1200008392334,-44.0,22.51
19343,62.1653782,47.71251275,3.9600000381469727,5.889999866485596,20.19,-33.26
20535,66.00923865,-34.01684639,3.9700000286102295,11.949999809265137,73.77,57.57
27673,87.87249592,39.14848031,3.9700000286102295,15.170000076293945,8.48,0.39
18614,59.74125467,35.7910326,3.9800000190734863,1.840000033378601,1.92,2.3
9347,30.00128317,-21.07783155,3.990000009536743,10.84000015258789,133.01,-24.53
8068,25.91515608,50.68873247,4.010000228881836,4.550000190734863,24.08,-13.59
22109,71.37562968,-3.25465749,4.010000228881836,6.130000114440918,17.27,-13.51
10670,34.32861359,33.84719358,4.03000020980835,27.729999542236328,44.91,-52.42
23522,75.8545419,60.44224552,4.03000020980835,3.2699999809265137,-6.11,-14.78
